"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSMUSG00000001143"	1191.03159963516	-0.583048015741739	0.103265013150364	0.00468211976253449	0.0156894917894142
"ENSMUSG00000037408"	667.80668308044	-1.71135621016855	0.11669946048742	1.46957837336984e-33	4.74986445598293e-32
"ENSMUSG00000026121"	616.988989233988	1.2498954010818	0.119916981910173	2.10699109945567e-15	2.43443037843989e-14
"ENSMUSG00000061518"	6644.70529115325	-1.45459805395591	0.122532703019972	3.41959569758954e-21	5.57876189261978e-20
"ENSMUSG00000037351"	3443.36784445316	-0.56257440798035	0.0791665146175375	0.000957742442215027	0.00365957565516346
"ENSMUSG00000026117"	35.3339071239004	2.28588420921139	0.460439663668577	2.06680835390596e-06	1.12229753892866e-05
"ENSMUSG00000026088"	298.057967537041	0.677818547343914	0.16136798959289	0.0106009770367622	0.0328882096317608
"ENSMUSG00000026087"	1202.21494417593	-0.573876611976423	0.103679067845293	0.00617771956086162	0.0202247418165176
"ENSMUSG00000048814"	15.2694437828023	2.90133189138526	0.860405937128582	0.000215986449812478	0.000911362435313035
"ENSMUSG00000026080"	27.2760229853158	2.51606377035553	0.471605000520929	3.74666024943236e-07	2.19569430624042e-06
"ENSMUSG00000026077"	247.321418572224	0.868168921937059	0.271673269330014	0.0141747297522954	0.0426138665079777
"ENSMUSG00000003134"	396.200458372949	0.99966447871357	0.162183958106051	8.47050626279542e-06	4.28494421004015e-05
"ENSMUSG00000026074"	2545.05727242553	1.56990290111634	0.112337776366747	1.69418909663891e-29	4.28516639686675e-28
"ENSMUSG00000026073"	19.5469755752971	2.51229496407168	0.604267186052762	2.96850885539672e-05	0.000140671921868089
"ENSMUSG00000026072"	547.931229528371	1.59929536294079	0.174185429829547	3.46168131897523e-14	3.65960179477333e-13
"ENSMUSG00000070942"	280.080701784097	3.21465096483323	0.230082477735994	2.34704955192586e-37	9.4619142044607e-36
"ENSMUSG00000026069"	71.8808966287568	3.11695733036988	0.43186118183241	5.94610856645481e-12	5.3354917124629e-11
"ENSMUSG00000026070"	170.070182853946	2.61571484949003	0.311248771009106	1.43433519276768e-14	1.5588536348065e-13
"ENSMUSG00000026068"	89.9041220490765	3.70139354127239	0.332220536532185	3.32415514781671e-25	6.78625969573477e-24
"ENSMUSG00000026065"	121.096846719478	1.44888748663642	0.297770427100698	2.75726599925857e-05	0.000131330302468417
"ENSMUSG00000026062"	1056.89716780967	-1.48212159912495	0.139606089011999	1.68027023733856e-17	2.2113821732893e-16
"ENSMUSG00000103679"	6.22707936457383	-2.62118600283484	0.928582207513371	0.00100379937518351	0.00382183007932977
"ENSMUSG00000103106"	3.32115544614281	-2.95134645555649	1.55113226745494	0.00562493791086366	0.0185647056747789
"ENSMUSG00000060424"	221.925638064724	-1.57543052215992	0.161611227308429	1.46968298302772e-15	1.71583375551182e-14
"ENSMUSG00000093436"	25.3463084747915	-1.92667365148356	0.449876057217006	4.44795661092429e-05	0.00020588738434898
"ENSMUSG00000045515"	4285.97912572997	-1.18081703807209	0.158645046203527	1.50081692579826e-08	1.01975190814659e-07
"ENSMUSG00000060679"	1163.5763059919	-0.594952528637646	0.121505293587286	0.0100436302450328	0.0313244571837121
"ENSMUSG00000041907"	5.03842965020192	5.02962489319806	2.4879918848591	0.000294319268413504	0.00121931488420464
"ENSMUSG00000070939"	1850.80902216531	-0.668773652389531	0.102688087164373	0.00027804439603474	0.00115686787703651
"ENSMUSG00000008136"	1019.23886265183	2.54346513734648	0.156102718557276	3.80031791691157e-47	2.32537809195351e-45
"ENSMUSG00000066877"	840.385159592634	0.694799355485125	0.102308940456714	0.000101662862292025	0.000446780473520286
"ENSMUSG00000026051"	89.3636613311841	2.86269264475787	0.309376418137203	1.72139976285922e-17	2.26151425315869e-16
"ENSMUSG00000056870"	257.715630579845	1.813475831422	0.152313730464673	1.52808316435702e-23	2.83221654711616e-22
"ENSMUSG00000026043"	20401.8393603135	5.04324693904894	0.219626592399827	2.72940137840646e-104	1.56303718936743e-101
"ENSMUSG00000026042"	2764.09563518645	4.64796051593067	0.246472446774336	1.32946939956962e-70	2.26659309694565e-68
"ENSMUSG00000104476"	3.9209152028372	2.45438371798921	1.64097830420664	0.0111395920220399	0.0343694346928782
"ENSMUSG00000025993"	3122.3939679261	0.729943526748127	0.148687120309741	0.00228736508278696	0.00816722809895507
"ENSMUSG00000025986"	1051.23674919213	1.25922081433531	0.160055782379214	1.02908874232561e-09	7.72820039377949e-09
"ENSMUSG00000045954"	644.994006396878	-1.19950485504122	0.138781210608991	5.9521983138257e-11	4.93087526487326e-10
"ENSMUSG00000026107"	1605.89439266651	-0.799052958953735	0.158798454607457	0.000928583004096473	0.00356033868042757
"ENSMUSG00000099413"	98.6730250535934	-1.90394725043814	0.239273638389517	4.85752572530712e-12	4.39578523294202e-11
"ENSMUSG00000018417"	786.960529148754	1.50244363664455	0.148073265716781	2.5702732531552e-16	3.16278142346932e-15
"ENSMUSG00000072324"	23.0219909045418	2.36629540126247	2.71429294887332	0.00935366898417575	0.0293529356600508
"ENSMUSG00000062939"	16.1126162815432	2.46768788464818	0.673775301012092	0.000145516973985694	0.000626803490259689
"ENSMUSG00000026104"	536.993240672052	1.23400511379357	0.141697071457284	2.7262941946984e-11	2.31781707439643e-10
"ENSMUSG00000043015"	180.874515061533	1.55026864108414	0.191614618278512	2.46530243812698e-11	2.10474253261193e-10
"ENSMUSG00000041426"	984.996492321358	-1.4393550849145	0.121630926508744	7.2346475698322e-21	1.16495038806512e-19
"ENSMUSG00000043629"	34.4414137771312	-2.33294055597286	0.4599834769326	1.17410488717049e-06	6.5327500124728e-06
"ENSMUSG00000026096"	330.690759572049	-0.981573421955472	0.134111091564325	2.53365318333907e-07	1.51788117480404e-06
"ENSMUSG00000026094"	402.748809170832	1.77133230261597	0.199188469993268	4.38298733197015e-14	4.59791634909447e-13
"ENSMUSG00000025981"	764.550070583829	-0.621143322310889	0.111271886401486	0.00285935179162927	0.0100236639325456
"ENSMUSG00000025980"	6445.99578545267	-1.30356040663145	0.101932522931265	1.42511485149524e-22	2.51211642409587e-21
